,ARR_DRT,ARR_GCH,CLASSE,DEB_DRT,DEB_GCH,DIR_VOIE,FIN_DRT,FIN_GCH,FIRE_STATION,ID_TRC,LIE_VOIE,LIM_DRT,LIM_GCH,Latitude,Longitude,NOM_VOIE,SENS_CIR,TIME_TO_FS,TYP_VOIE
56880,Saint-Laurent,Saint-Laurent,0,3287,3300,,3385,3380,FALSE,1609212,,Montréal,Montréal,45.52191064,-73.72678785,Savard,0,0.075976046,rue
56881,Saint-Laurent,Saint-Laurent,0,3305,3300,,3375,3380,FALSE,1609213,,Montréal,Montréal,45.52122073,-73.7271423,Achim,0,0.073608456,rue
56882,Saint-Laurent,Saint-Laurent,0,2605,0,,2615,0,FALSE,1609214,,Montréal,Montréal,45.52072258,-73.7277735,Robitaille,0,0.071658609,rue
56886,Saint-Laurent,Saint-Laurent,0,3445,0,,3479,0,FALSE,1609218,,Montréal,Montréal,45.52108776,-73.72981581,Limoges,0,0.072341975,rue
56887,Saint-Laurent,Saint-Laurent,0,2695,2700,,2715,2720,FALSE,1609219,,Montréal,Montréal,45.52044858,-73.73063688,Machabée,0,0.070262595,rue
56893,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609228,,Montréal,Montréal,45.51920181,-73.73025866,Trépanier,-1,0.070082918,rue
56894,Saint-Laurent,Saint-Laurent,6,3355,0,,3415,0,FALSE,1609230,,Montréal,Montréal,45.51910332,-73.72851209,Toupin,1,0.065297155,boulevard
56897,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609233,,Montréal,Montréal,45.51957638,-73.72790991,Robitaille,0,0.06710503,rue
56899,Saint-Laurent,Saint-Laurent,6,0,3270,,0,3320,FALSE,1609235,,Montréal,Montréal,45.51858842,-73.72793815,Toupin,-1,0.064019024,boulevard
56902,Saint-Laurent,Saint-Laurent,0,2835,0,,2845,0,FALSE,1609236,,Montréal,Montréal,45.51815081,-73.72852361,Baker,0,0.065472344,rue
56920,Saint-Laurent,Saint-Laurent,0,0,0,,0,0,FALSE,1609257,,Montréal,Montréal,45.5181732,-73.73005091,Geoffrion,0,0.068698226,rue
56924,Saint-Laurent,Saint-Laurent,0,3645,3650,,3655,3650,FALSE,1609267,,Montréal,Montréal,45.52319921,-73.7317256,Beauséjour,0,0.078140589,rue
56925,Saint-Laurent,Saint-Laurent,0,3565,3600,,3635,3600,FALSE,1609268,,Montréal,Montréal,45.52246602,-73.73054764,Beauséjour,0,0.078590234,rue
56926,Saint-Laurent,Saint-Laurent,0,0,2650,,0,2690,FALSE,1609270,,Montréal,Montréal,45.52179297,-73.73140097,Métivier,0,0.075811099,rue
